Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
City Of Fort Worth Police Dept,TX,424449.0,1496.5,30.2,113.8,617.3,735.3,12370.4,3739.7,7274.6,1356.1,1985
Fremont Police Dept,CA,148032.0,414.8,2.0,23.0,58.1,331.7,4089.0,1206.5,2646.0,236.4,1985
Fresno Police Dept,CA,275125.0,840.0,16.7,64.7,448.2,310.4,9635.6,2871.4,6122.7,641.5,1985
Fullerton Police Dept,CA,109999.0,378.2,4.5,30.0,156.4,187.3,5648.2,1397.3,3783.7,467.3,1985
Fort Lauderdale Police Dept,FL,155204.0,1438.8,27.7,69.6,882.1,459.4,12635.6,4142.9,7188.6,1304.1,1985
Garden Grove Police Dept,CA,133012.0,618.7,9.8,35.3,301.5,272.2,6388.9,2001.3,3745.5,642.0,1985
Garland Police Dept,TX,164029.0,270.7,3.0,56.1,86.0,125.6,5343.6,1483.9,3545.1,314.6,1985
Glendale Police Dept,AZ,118891.0,677.9,7.6,44.6,99.3,526.5,8084.7,2251.6,5354.5,478.6,1985
Glendale Police Dept,CA,151713.0,315.7,2.6,11.2,173.4,128.5,4565.2,1262.9,2694.6,607.7,1985
Grand Rapids Police Dept,MI,183270.0,1208.1,10.4,119.5,367.2,711.0,7451.3,1951.2,5084.3,415.8,1985
Greensboro Police Dept,NC,161650.0,621.1,8.0,33.4,144.8,434.9,5558.3,1363.4,3957.9,236.9,1985
Hampton Police Dept,VA,127585.0,290.0,4.7,32.9,110.5,141.9,5270.2,820.6,4223.1,226.5,1985
Hartford Police Dept,CT,136572.0,1996.7,8.8,77.6,1120.3,790.1,11099.6,3418.0,6603.1,1078.6,1985
Hayward Police Dept,CA,102351.0,655.6,5.9,35.2,244.3,370.3,6618.4,1654.1,4504.1,460.2,1985
Honolulu Police Dept,HI,817083.0,220.4,4.4,30.4,118.1,67.6,4925.7,1100.1,3529.3,296.3,1985
Houston Police Dept,TX,1746375.0,942.6,26.2,98.0,549.1,269.4,7985.1,2302.3,3864.9,1817.8,1985
Huntington Beach Police Dept,CA,184532.0,252.5,2.2,20.6,93.2,136.6,4353.2,1273.5,2664.0,415.6,1985
Huntsville Police Dept,AL,150681.0,453.9,7.3,47.1,136.7,262.8,6763.3,1499.9,4946.9,316.6,1985
Hialeah Police Dept,FL,157665.0,861.3,15.2,18.4,341.2,486.5,7594.6,1852.7,4271.7,1470.2,1985
Hollywood Police Dept,FL,124451.0,829.2,4.0,34.6,384.9,405.8,8303.7,1924.5,5644.0,735.2,1985
Independence Police Dept,MO,112593.0,321.5,0.9,16.0,70.2,234.5,4410.6,1007.2,3106.8,296.6,1985
Indianapolis Police Dept,IN,471656.0,980.0,12.5,73.4,380.6,513.5,5306.6,1740.5,2952.8,613.4,1985
Inglewood Police Dept,CA,101872.0,1856.3,26.5,104.1,1142.6,583.1,6158.7,2234.2,2390.3,1534.3,1985
Irving Police Dept,TX,122920.0,687.4,9.8,66.7,165.1,445.8,9095.3,2234.0,6185.3,676.0,1985
Jackson Police Dept,MS,210024.0,666.1,18.1,55.2,210.5,382.3,5669.8,1888.8,3482.0,299.0,1985
Jacksonville,FL,601007.0,1214.8,15.0,117.3,448.1,634.4,6925.5,2273.4,4293.8,358.4,1985
Jersey City Police Dept,NJ,224401.0,1503.6,14.3,43.7,909.5,536.1,6283.4,1862.7,2963.4,1457.2,1985
Kansas City Police Dept,KS,161271.0,1313.9,14.3,86.2,331.7,881.7,7646.8,2516.3,4233.2,897.2,1985
Kansas City Police Dept,MO,444942.0,1800.7,20.5,95.3,594.7,1090.3,8676.2,2509.1,4919.3,1247.8,1985
Knoxville Police Dept,TN,175643.0,613.7,9.1,35.9,239.1,329.6,5556.7,1879.9,2821.6,855.1,1985
Lakewood,CO,123142.0,583.1,0.8,39.8,154.3,388.2,7749.6,1979.8,5306.9,462.9,1985
