Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
San Jose Police Dept,CA,815235.0,725.6,4.0,46.0,136.0,539.5,3758.9,714.3,2490.1,554.6,1994
Santa Ana Police Dept,CA,293021.0,1050.8,25.3,27.3,604.4,393.8,4972.3,836.8,2864.0,1271.6,1994
Santa Clarita,CA,120735.0,656.0,0.0,25.7,82.0,548.3,2754.8,796.0,1529.8,429.0,1994
Santa Rosa Police Dept,CA,118576.0,514.4,4.2,69.2,147.6,293.5,5998.7,1344.3,4117.2,537.2,1994
Savannah Police Dept,GA,144691.0,1027.0,20.0,51.8,597.8,357.3,7577.5,1495.6,5111.6,970.3,1994
Scottsdale Police Dept,AZ,145710.0,293.0,2.7,19.2,94.7,176.4,6086.1,1288.9,3900.9,896.3,1994
Seattle Police Dept,WA,540268.0,1210.1,12.8,58.9,469.4,669.1,9507.7,1515.2,6803.7,1188.9,1994
Shreveport Police Dept,LA,198298.0,1386.8,31.8,61.0,494.7,799.3,11005.2,2523.0,7481.7,1000.5,1994
Simi Valley Police Dept,CA,105614.0,206.4,0.9,8.5,36.9,160.0,2747.7,616.4,1735.6,395.8,1994
Sioux Falls Police Dept,SD,107258.0,454.0,2.8,65.3,52.2,333.8,4503.2,814.9,3488.8,199.5,1994
South Bend Police Dept,IN,107701.0,1152.3,17.6,88.2,481.0,565.5,8574.7,2321.2,5558.0,695.4,1994
Spokane Police Dept,WA,194718.0,866.9,3.6,51.9,251.6,559.8,7922.7,1613.6,5844.9,464.3,1994
Springfield Police Dept,IL,107701.0,,16.7,,466.1,964.7,8281.3,2482.8,5245.1,553.4,1994
Springfield Police Dept,MA,154694.0,1640.7,10.3,80.2,482.2,1067.9,6779.8,1881.8,2583.2,2314.9,1994
Springfield Police Dept,MO,147875.0,549.1,2.0,50.0,124.4,372.6,8307.0,1602.0,6300.6,404.4,1994
Stamford Police Dept,CT,107458.0,591.9,5.6,14.0,323.8,248.5,5394.7,1003.2,3727.0,664.4,1994
Sterling Heights Police Dept,MI,119090.0,283.0,0.8,16.8,20.2,245.2,3384.0,351.0,2707.2,325.8,1994
Stockton Police Dept,CA,223431.0,1613.5,19.7,54.2,641.4,898.3,8886.4,2041.3,4991.3,1853.8,1994
Sunnyvale Dept Of Public Safety,CA,120492.0,259.8,1.7,22.4,91.3,144.4,2895.6,428.2,2070.7,396.7,1994
Syracuse Police Dept,NY,163374.0,755.3,9.8,35.5,356.2,353.8,5759.2,1802.6,3476.7,479.9,1994
St. Petersburg Police Dept,FL,243508.0,2254.5,9.4,87.5,619.7,1537.9,7590.3,1931.8,5067.2,591.4,1994
Tacoma Police Dept,WA,191042.0,1843.6,17.3,106.8,525.5,1194.0,9885.8,1912.1,6266.2,1707.5,1994
Tempe Police Dept,AZ,151152.0,617.9,6.0,34.4,173.3,404.2,8552.3,1613.6,5730.7,1208.1,1994
Thousand Oaks,CA,109386.0,261.5,0.9,16.5,54.9,189.2,2399.8,453.4,1646.5,299.9,1994
Toledo Police Dept,OH,331744.0,1104.5,12.1,107.3,523.0,462.1,8026.1,1985.6,4849.5,1191.0,1994
Torrance Police Dept,CA,137995.0,539.9,2.2,18.8,313.1,205.8,5342.2,1121.1,3101.6,1119.6,1994
Tucson Police Dept,AZ,441402.0,1106.0,8.4,65.5,229.3,802.9,11148.8,1632.3,7976.6,1539.9,1994
Tulsa Police Dept,OK,381640.0,1215.5,11.0,77.6,280.6,846.3,6185.1,1715.8,3289.0,1180.4,1994
Tallahassee Police Dept,FL,134901.0,1742.0,6.7,84.5,548.6,1102.3,11128.9,2441.0,7736.0,951.8,1994
Tampa Police Dept,FL,294663.0,3482.6,21.0,101.1,1146.4,2214.1,13998.4,2964.1,7297.5,3736.8,1994
Vallejo Police Dept,CA,115675.0,1395.3,25.9,46.7,520.4,802.2,6807.0,1632.2,4151.3,1023.6,1994
Virginia Beach Police Dept,VA,427471.0,270.9,7.7,33.9,142.5,86.8,4695.1,759.8,3713.9,221.3,1994
City Of Waco Police Dept,TX,108083.0,1615.4,23.1,116.6,403.4,1072.3,7951.3,1647.8,5282.1,1021.4,1994
Warren Police Dept,MI,143338.0,750.7,2.1,43.3,155.6,549.7,4525.0,789.7,2757.8,977.4,1994
Washington Metropolitan Police Dept,DC,570000.0,2662.6,70.0,43.7,1107.2,1441.8,8415.3,1760.9,5205.8,1448.6,1994
Waterbury Police Dept,CT,106772.0,530.1,7.5,35.6,257.6,229.5,7612.5,1747.6,4654.8,1210.1,1994
West Covina Police Dept,CA,100490.0,652.8,6.0,25.9,323.4,297.5,5175.6,1061.8,2867.9,1245.9,1994
Wichita Police Dept,KS,316629.0,742.2,13.3,70.7,334.8,323.4,8466.1,2053.2,5328.9,1083.9,1994
Winston-Salem Police Dept,NC,149745.0,1789.7,27.4,94.8,647.1,1020.4,11211.1,3275.6,7122.1,813.4,1994
Worcester Police Dept,MA,164722.0,1030.2,7.9,41.3,405.5,575.5,5906.3,1963.3,3101.0,842.0,1994
Yonkers Police Dept,NY,186679.0,723.2,7.5,22.0,465.0,228.7,3950.1,869.9,2073.6,1006.5,1994
Abilene Police Dept,TX,112105.0,620.8,4.5,71.4,116.9,428.2,4775.0,931.3,3652.8,190.9,1995
Akron City Police Dept,OH,222864.0,1017.7,8.1,93.8,392.6,523.2,6117.2,1252.8,3959.4,905.0,1995
Albuquerque Police Dept,NM,419714.0,1128.1,12.6,70.5,386.7,658.3,8772.2,1992.3,5589.8,1190.1,1995
Alexandria Police Dept,VA,114015.0,573.6,1.8,26.3,255.2,290.3,5932.6,819.2,4075.8,1037.6,1995
Allentown City Police Dept,PA,105513.0,735.5,6.6,45.5,392.4,291.0,5928.2,1360.0,3955.9,612.2,1995
Amarillo Police Dept,TX,168142.0,820.7,9.5,50.0,143.9,617.3,7085.1,1438.7,5283.0,363.4,1995
Amherst Town Police Dept,NY,107042.0,79.4,0.9,7.5,50.4,20.6,2576.6,200.9,2177.6,198.1,1995
Anaheim Police Dept,CA,283552.0,872.9,8.8,26.8,356.5,480.7,5263.2,1107.7,3090.8,1064.7,1995
Anchorage Police Dept,AK,253500.0,990.1,11.4,95.5,306.5,576.7,6230.8,994.5,4399.2,837.1,1995
Ann Arbor Police Dept,MI,109424.0,431.3,2.7,39.3,120.6,268.7,4516.4,989.7,3330.2,196.5,1995
Arlington Police Dept,TX,292324.0,881.2,3.1,52.7,178.2,647.2,6098.7,1102.9,4209.7,786.1,1995
Atlanta Police Dept,GA,404337.0,3646.5,45.5,109.1,1300.9,2191.0,13421.2,2892.1,8463.5,2065.6,1995
Aurora Police Dept,CO,256957.0,762.0,7.0,53.7,213.7,487.6,5815.8,948.0,4348.2,519.5,1995
Aurora Police Dept,IL,113058.0,,21.2,,204.3,509.5,4775.4,1018.1,3322.2,435.2,1995
Austin Police Dept,TX,523691.0,773.4,8.8,58.8,255.1,450.6,7358.5,1436.2,5238.6,683.8,1995
Bakersfield Police Dept,CA,192021.0,676.0,15.1,20.3,314.5,326.0,6513.9,1490.5,4105.3,918.1,1995
Baltimore City Police Dept,MD,712209.0,3017.7,45.2,95.9,1594.1,1282.5,10300.3,2326.4,6405.3,1568.6,1995
Baton Rouge Police Dept,LA,229027.0,2860.4,28.4,75.5,608.7,2147.8,10585.2,2254.8,6897.0,1433.5,1995
Beaumont Police Dept,TX,117187.0,1049.6,11.9,161.3,358.4,518.0,8491.6,1492.5,6326.6,672.4,1995
Berkeley Police Dept,CA,100332.0,1248.9,10.0,32.9,617.0,589.0,10120.4,1532.9,7516.0,1071.4,1995
Birmingham Police Dept,AL,270728.0,2456.0,44.7,91.6,797.1,1522.6,9747.1,2363.6,6024.1,1359.3,1995
Boise Police Dept,ID,149856.0,430.4,2.0,35.4,50.7,342.3,5490.6,950.2,4211.4,329.0,1995
Boston Police Dept,MA,550715.0,1737.6,17.4,68.8,653.2,998.2,7755.2,1211.3,4721.5,1822.4,1995
Bridgeport Police Dept,CT,133057.0,1191.2,24.8,34.6,631.3,500.5,6614.5,1757.1,2966.4,1890.9,1995
Brownsville Police Dept,TX,115029.0,710.3,6.1,22.6,177.3,504.2,6599.2,1098.9,5036.1,464.2,1995
Buffalo Police Dept,NY,312395.0,2027.2,19.8,83.5,907.8,1016.0,7178.1,2270.2,3560.9,1347.0,1995
Burbank Police Dept,CA,100166.0,502.2,6.0,20.0,187.7,288.5,3724.8,596.0,2242.3,886.5,1995
Cambridge Police Dept,MA,100428.0,792.6,3.0,34.9,293.7,461.0,4789.5,948.9,3298.9,541.7,1995
Chandler Police Dept,AZ,123410.0,326.6,7.3,25.9,96.4,196.9,6220.7,1358.9,3955.9,905.9,1995
Charlotte-Mecklenburg Police Department,NC,544146.0,1695.9,16.4,67.3,542.0,1070.3,7880.6,1830.2,5379.6,670.8,1995
Chattanooga Police Dept,TN,154641.0,1262.3,18.1,40.1,344.0,860.1,7964.9,1678.1,5393.8,893.0,1995
Chesapeake Police Dept,VA,182395.0,450.1,5.5,38.9,195.7,210.0,4230.9,810.3,3094.9,325.7,1995
Chicago Police Dept,IL,2749811.0,,30.0,,1094.1,1425.7,7197.7,1463.3,4418.0,1316.3,1995
Chula Vista Police Dept,CA,150005.0,724.6,8.0,22.7,270.0,424.0,5321.2,1108.0,3015.9,1197.3,1995
Cincinnati Police Dept,OH,359749.0,1289.8,13.9,113.4,599.0,563.4,6196.3,1491.6,4172.9,531.8,1995
Cleveland,OH,495074.0,1646.2,26.1,139.2,853.2,627.8,6163.7,1553.9,2780.2,1829.6,1995
Colorado Springs,CO,324441.0,482.7,5.5,63.8,128.2,285.1,6282.5,1062.1,4792.6,427.8,1995
Columbia Police Dept,SC,104457.0,2101.3,9.6,86.2,654.8,1350.8,10232.9,2163.6,7259.4,809.9,1995
Columbus Police Dept,GA,190328.0,516.5,10.5,17.9,227.0,261.1,6007.5,1156.4,4387.2,463.9,1995
Columbus Police Dept,OH,638729.0,1037.1,12.1,99.6,521.2,404.2,8155.4,2058.1,4995.1,1102.2,1995
Concord Police Dept,CA,112451.0,588.7,3.6,44.5,138.7,402.0,6255.2,1225.4,4295.2,734.5,1995
Corpus Christi Police Dept,TX,280605.0,985.0,11.0,77.0,179.6,717.4,9447.4,1348.9,7580.4,518.2,1995
Clearwater Police Dept,FL,101362.0,1068.4,3.9,47.4,253.5,763.6,6083.1,1400.9,4392.2,290.0,1995
Dallas Police Dept,TX,1042088.0,1532.4,26.5,81.8,566.1,858.1,7931.7,1603.0,4708.6,1620.0,1995
Dayton,OH,179327.0,1352.3,21.7,132.2,758.4,440.0,9214.5,2242.8,5217.8,1753.8,1995
Denver Police Dept,CO,505843.0,861.3,16.0,63.3,279.3,502.7,6012.1,1464.9,3511.2,1036.1,1995
Des Moines Police Dept,IA,194654.0,516.3,9.8,65.2,160.3,281.0,7759.4,993.0,6119.6,646.8,1995
Detroit Police Dept,MI,997297.0,2407.6,47.6,110.7,1010.3,1238.9,9531.2,2242.7,4353.3,2935.2,1995
Downey Police Dept,CA,100391.0,574.8,7.0,18.9,351.6,197.2,4197.6,844.7,2088.8,1264.1,1995
Durham Police Dept,NC,145975.0,1257.1,16.4,56.2,619.3,565.2,9611.9,3097.8,5738.0,776.2,1995
El Monte Police Dept,CA,105187.0,1326.2,28.5,31.4,504.8,761.5,3586.0,946.9,1694.1,945.0,1995
El Paso Police Dept,TX,590215.0,838.3,6.3,41.0,182.3,608.8,6225.5,648.6,4919.2,657.7,1995
Elizabeth Police Dept,NJ,106849.0,1258.8,16.8,43.1,876.0,322.9,7761.4,1942.9,3957.9,1860.6,1995
Erie Police Dept,PA,108577.0,618.9,5.5,51.6,314.1,247.8,4636.3,934.8,3336.8,364.7,1995
Escondido Police Dept,CA,116934.0,752.6,9.4,30.8,215.5,496.9,6082.9,1240.0,3716.6,1126.3,1995
Eugene Police Dept,OR,120226.0,603.9,2.5,34.1,227.1,340.2,9274.2,1693.5,7023.4,557.3,1995
Evansville Police Dept,IN,130600.0,554.4,3.8,25.3,117.9,407.4,5171.5,1176.9,3653.9,340.7,1995
Flint City Police Dept,MI,138934.0,2801.3,29.5,148.3,741.4,1882.2,9678.0,2977.7,5287.4,1412.9,1995
Fontana Police Dept,CA,104258.0,1464.6,12.5,63.3,450.8,938.1,4555.0,1316.0,1715.0,1524.1,1995
Fort Collins Police Dept,CO,101416.0,451.6,2.0,65.1,29.6,355.0,5043.6,779.0,4074.3,190.3,1995
Fort Wayne Police Dept,IN,184985.0,503.3,12.4,45.4,321.1,124.3,6397.3,973.1,4368.5,1055.8,1995
City Of Fort Worth Police Dept,TX,460321.0,1160.9,23.5,72.1,426.9,638.5,7456.3,1593.2,4807.1,1056.0,1995
Fremont Police Dept,CA,184498.0,658.0,1.1,17.3,107.9,531.7,4006.5,771.8,2631.5,603.3,1995
Fresno Police Dept,CA,388495.0,1456.6,18.3,54.6,557.5,826.3,10452.6,1966.0,5290.2,3196.4,1995
Fullerton Police Dept,CA,117450.0,417.2,5.1,33.2,168.6,210.3,5108.6,947.6,3426.1,734.8,1995
Fort Lauderdale Police Dept,FL,165328.0,1386.9,16.3,61.7,673.2,635.7,13756.3,2949.3,8973.7,1833.3,1995
Garden Grove Police Dept,CA,148702.0,621.4,4.0,26.2,233.4,357.8,4583.7,869.5,2685.9,1028.2,1995
Garland Police Dept,TX,197875.0,485.2,3.5,51.5,137.0,293.1,5285.2,1084.5,3660.9,539.7,1995
Glendale Police Dept,AZ,174349.0,803.0,5.2,30.4,183.5,583.9,8068.9,1634.7,4869.0,1565.3,1995
Glendale Police Dept,CA,179378.0,426.5,4.5,12.3,195.7,214.1,4010.0,733.1,2537.7,739.2,1995
Grand Prairie Police Dept,TX,110958.0,626.4,10.8,25.2,126.2,464.1,5184.8,959.8,3347.2,877.8,1995
Grand Rapids Police Dept,MI,191457.0,1287.0,12.5,56.9,345.8,871.7,6315.8,1626.0,4225.0,464.9,1995
Green Bay Police Dept,WI,103536.0,491.6,3.9,72.4,67.6,347.7,4210.1,536.0,3492.5,181.6,1995
Greensboro Police Dept,NC,199635.0,1050.9,18.0,44.1,393.2,595.6,7987.6,1838.9,5543.6,605.1,1995
Hampton Police Dept,VA,141034.0,392.8,9.9,28.4,187.2,167.3,4602.4,587.8,3686.3,328.3,1995
Hartford Police Dept,CT,124196.0,2092.7,26.6,90.2,1029.0,946.9,11251.6,2525.8,6665.3,2060.5,1995
Hayward Police Dept,CA,116171.0,736.0,10.3,38.7,300.4,386.5,6134.1,1063.1,3763.4,1307.6,1995
Henderson Police Dept,NV,107107.0,295.0,2.8,73.8,115.8,102.7,4356.4,856.2,2857.9,642.3,1995
Honolulu Police Dept,HI,880266.0,327.4,4.3,24.7,155.7,142.7,7300.4,1150.4,5304.8,845.2,1995
Houston Police Dept,TX,1734335.0,1283.5,18.2,48.3,531.7,685.3,6304.5,1431.7,3573.5,1299.4,1995
Huntington Beach Police Dept,CA,190171.0,297.6,4.2,23.1,92.5,177.7,3958.0,1095.9,2352.6,509.5,1995
Huntsville Police Dept,AL,161617.0,788.9,6.2,34.6,237.6,510.5,7317.9,1493.0,5193.1,631.7,1995
Hialeah Police Dept,FL,197084.0,943.8,8.6,20.8,410.5,503.8,6999.0,1234.5,3875.0,1889.5,1995
Hollywood Police Dept,FL,126900.0,884.9,3.9,49.6,408.2,423.2,8686.4,1595.0,5922.0,1169.4,1995
Independence Police Dept,MO,112642.0,559.3,1.8,35.5,129.6,392.4,7413.8,1226.9,5600.9,585.9,1995
Indianapolis Police Dept,IN,373973.0,1526.0,21.9,101.9,557.8,844.4,6703.2,1740.8,3567.4,1395.0,1995
Inglewood Police Dept,CA,110638.0,1790.5,36.2,54.2,964.4,735.7,4371.0,990.6,1893.6,1486.8,1995
Irvine Police Department,CA,126255.0,168.7,1.6,11.1,59.4,96.6,3559.5,708.1,2527.4,323.9,1995
Irving Police Dept,TX,168022.0,494.6,3.0,33.3,126.8,331.5,5330.3,799.9,4001.3,529.1,1995
Jackson Police Dept,MS,195123.0,1366.8,47.1,95.3,752.9,471.5,10444.2,2795.7,5569.8,2078.7,1995
Jacksonville,FL,679148.0,1412.9,12.7,92.0,430.0,878.3,7588.8,1839.2,4905.0,844.6,1995
Jersey City Police Dept,NJ,227195.0,1906.3,11.0,40.5,1015.0,839.8,6039.7,1677.0,2815.6,1547.1,1995
Kansas City Police Dept,MO,445549.0,2184.7,24.0,105.5,751.0,1304.2,9615.3,2187.9,5903.1,1524.4,1995
Knoxville Police Dept,TN,171960.0,1849.3,11.0,64.0,416.4,1357.9,6098.5,1634.1,3429.9,1034.5,1995
Lafayette Police Dept,LA,102921.0,993.0,7.8,61.2,271.1,652.9,8729.0,1577.9,6490.4,660.7,1995
Lakewood,CO,129167.0,422.7,4.6,37.9,100.6,279.5,5266.1,892.6,4031.2,342.2,1995
Lancaster,CA,119785.0,1102.0,7.5,40.9,251.3,802.3,4131.6,1180.4,2153.0,798.1,1995
Lansing City Police Dept,MI,120256.0,1366.3,10.8,123.1,286.1,946.3,6769.7,1249.0,4939.5,581.3,1995
Laredo,TX,152736.0,724.8,9.2,14.4,113.9,587.3,5920.7,1065.9,4274.7,580.1,1995
Las Vegas Metropolitan Police Department,NV,793432.0,1200.2,14.9,72.0,467.8,645.5,6384.3,1540.0,3837.1,1007.1,1995
Lexington-Fayette County Police Department,KY,239660.0,875.8,5.8,54.7,265.4,549.9,5772.3,1242.6,4135.9,393.9,1995
Lincoln Police Dept,NE,204828.0,649.8,1.0,39.1,59.6,550.2,6396.6,917.8,5255.6,223.1,1995
Little Rock Police Dept,AR,180821.0,2045.7,29.3,95.1,584.0,1337.2,10238.3,2046.8,7227.6,963.9,1995
Long Beach Police Dept,CA,436034.0,1295.5,18.3,39.2,636.2,601.8,5735.3,1279.0,3213.3,1243.0,1995
Los Angeles Police Dept,CA,3466211.0,2034.4,24.5,45.9,840.5,1123.6,5645.5,1192.2,3120.1,1333.2,1995
Louisville Police Dept,KY,272638.0,1195.7,18.3,49.5,583.9,543.9,5953.3,1639.9,3227.7,1085.7,1995
Lubbock Police Dept,TX,198128.0,961.5,9.6,61.6,149.9,740.4,5804.8,1232.0,4081.2,491.6,1995
Madison City Police Dept,WI,196156.0,314.5,2.5,34.2,143.8,134.1,4420.0,743.8,3302.5,373.7,1995
Memphis Police Dept,TN,623902.0,1769.3,29.0,125.8,926.3,688.2,8744.6,2568.7,3958.2,2217.8,1995
Mesa Police Dept,AZ,324654.0,812.6,5.2,39.4,156.2,611.7,8082.1,1467.4,5233.6,1381.2,1995
Mesquite Police Dept,TX,115770.0,519.1,0.9,17.3,76.9,424.1,5780.4,712.6,4487.3,580.5,1995
Milwaukee Police Dept,WI,622467.0,1082.3,22.2,59.4,586.4,414.3,7380.6,1344.0,4214.0,1822.6,1995
Minneapolis Police Dept,MN,357709.0,1978.1,26.8,161.6,992.4,797.3,9567.3,2243.2,6069.2,1254.9,1995
Mobile Police Dept,AL,206138.0,1111.4,26.2,52.4,665.6,367.2,8306.1,2038.0,5358.5,909.6,1995
Modesto Police Dept,CA,177244.0,771.8,7.3,42.9,218.3,503.3,7930.9,1587.6,5225.6,1117.7,1995
Montgomery Police Dept,AL,197046.0,715.1,17.8,43.1,286.2,367.9,5975.8,1565.6,3750.4,659.7,1995
Moreno Valley,CA,140011.0,929.9,11.4,31.4,278.5,608.5,5631.7,1571.3,3261.2,799.2,1995
Miami Police Dept,FL,378720.0,3413.3,29.0,52.3,1498.7,1833.3,12210.3,2607.2,7271.1,2332.1,1995
Naperville Police Dept,IL,101834.0,,2.0,,21.6,52.0,2523.7,289.7,2138.8,95.3,1995
Nashville-Davidson Metro Police Dept,TN,523681.0,1790.4,20.1,93.0,510.8,1166.5,8920.3,1572.7,5798.0,1549.6,1995
New Haven Police Dept,CT,119604.0,1863.7,17.6,81.9,796.8,967.4,10823.2,2479.0,6241.4,2102.8,1995
New Orleans Police Dept,LA,487179.0,2232.4,74.5,100.0,1098.0,960.0,8728.4,2101.1,4609.0,2018.4,1995
New York City Police Dept,NY,7319546.0,1557.8,16.1,31.7,809.9,700.2,4474.4,1009.3,2472.1,992.9,1995
Newark Police Dept,NJ,260232.0,3985.3,39.2,83.0,2105.8,1757.3,11526.6,2831.7,4904.1,3790.8,1995
Newport News Police Dept,VA,180930.0,967.2,15.5,76.8,297.4,577.6,5244.6,922.5,3968.9,353.2,1995
Norfolk Police Dept,VA,243857.0,981.3,21.7,72.6,530.2,356.8,7467.1,1285.2,5227.2,954.7,1995
Norwalk,CA,101250.0,1075.6,15.8,22.7,365.4,671.6,3684.0,784.2,1643.5,1256.3,1995
Oceanside,CA,146964.0,1051.3,15.7,49.0,278.3,708.3,4111.2,1266.3,2039.3,805.6,1995
Oklahoma City Police Dept,OK,466232.0,1292.7,48.7,101.5,343.8,798.7,10209.1,2234.9,6877.0,1097.1,1995
Omaha Police Dept,NE,348089.0,1029.9,7.8,23.0,232.1,767.0,6819.8,1115.5,4616.9,1087.4,1995
Ontario Police Dept,CA,135503.0,1140.9,15.5,51.7,405.9,667.9,6521.6,1369.7,3564.5,1587.4,1995
Orange Police Dept,CA,117372.0,496.7,5.1,12.8,165.3,313.5,3708.7,824.7,2110.4,773.6,1995
Oxnard Police Dept,CA,146596.0,984.3,7.5,44.3,285.8,646.7,4316.6,910.7,2798.2,607.8,1995
Orlando Police Dept,FL,179649.0,2099.6,10.6,78.5,583.4,1427.2,9450.7,2149.7,6265.0,1035.9,1995
Palmdale,CA,103943.0,1113.1,6.7,36.6,278.0,791.8,3826.1,1026.5,2042.5,757.1,1995
Pasadena Police Dept,CA,134844.0,1053.8,8.9,39.3,534.7,470.9,5916.5,1270.4,3880.0,766.1,1995
Pasadena Police Dept,TX,131726.0,800.9,11.4,47.8,133.6,608.1,4377.3,930.0,2779.3,668.1,1995
Paterson Police Dept,NJ,139007.0,1192.0,8.6,32.4,596.4,554.6,5526.3,1605.0,2911.4,1010.0,1995
Philadelphia Police Dept,PA,1529848.0,1428.9,28.2,50.5,889.8,460.4,5641.5,1056.6,3028.5,1556.3,1995
Phoenix Police Dept,AZ,1085706.0,1067.5,19.7,37.9,340.1,669.8,9812.6,1929.9,5749.4,2133.3,1995
Pittsburgh,PA,354780.0,979.2,16.3,68.5,585.4,308.9,5150.8,1014.1,3182.0,954.7,1995
Plano Police Dept,TX,160357.0,403.5,2.5,23.7,57.4,319.9,4369.6,838.8,3293.9,237.0,1995
Pomona Police Dept,CA,144593.0,1190.2,22.1,40.8,424.6,702.7,4666.2,1235.2,2388.8,1042.2,1995
Portland Police Dept,OR,458623.0,1926.0,9.4,92.9,501.1,1322.7,10142.3,1703.6,6451.7,1987.0,1995
Providence Police Dept,RI,149805.0,815.7,16.7,64.8,380.5,353.8,8528.4,2359.1,4772.9,1396.5,1995
Pueblo Police Dept,CO,102971.0,1327.6,7.8,44.7,176.7,1098.4,6268.8,1425.6,4345.9,497.2,1995
Raleigh Police Dept,NC,240891.0,846.4,7.5,43.2,269.0,526.8,6427.8,1528.5,4385.8,513.5,1995
Rancho Cucamonga,CA,115376.0,317.2,6.1,19.1,155.1,136.9,3880.4,865.0,2165.1,850.3,1995
Reno Police Dept,NV,152294.0,720.3,9.2,61.7,276.4,373.0,6467.8,1212.1,4723.1,532.5,1995
Richmond (City) Bureau Of Police,VA,203133.0,1723.0,59.1,84.2,734.0,845.8,8607.2,2097.1,5340.3,1169.7,1995
Riverside Police Dept,CA,242859.0,1568.4,14.0,48.2,415.9,1090.3,6536.3,1742.6,3518.5,1275.2,1995
Rochester Police Dept,NY,230749.0,1105.1,21.7,65.0,683.0,335.4,8740.7,2205.4,5577.9,957.3,1995
Rockford Police Dept,IL,144214.0,,13.2,,520.8,667.1,9429.0,2507.4,6019.5,902.1,1995
Sacramento Police Dept,CA,375845.0,1138.8,15.2,42.0,566.5,515.1,9185.4,2129.3,4932.4,2123.7,1995
St. Louis Police Dept,MO,371425.0,3352.5,54.9,73.5,1382.8,1841.3,12730.4,2878.6,7696.6,2155.2,1995
St. Paul Police Dept,MN,264539.0,958.6,9.5,88.1,351.6,509.6,6698.4,1614.9,4241.0,842.6,1995
Salem Police Dept,OR,117466.0,361.8,7.7,55.3,210.3,88.5,10142.5,1576.6,7633.7,932.2,1995
Salinas Police Dept,CA,120416.0,1252.3,12.5,40.7,410.2,788.9,5664.5,980.8,3983.7,700.1,1995
Salt Lake City Police Dept,UT,175765.0,782.3,15.4,84.2,320.9,361.8,11799.8,1678.4,8799.8,1321.7,1995
San Antonio Police Dept,TX,999900.0,517.9,14.2,65.8,234.5,203.3,7476.0,1396.2,5237.5,842.3,1995
San Bernardino Police Dept,CA,182632.0,2150.8,36.7,55.3,789.6,1269.2,8427.3,2185.3,4324.0,1918.1,1995
San Diego Police Dept,CA,1157771.0,956.8,7.9,29.9,280.2,638.8,4591.4,890.6,2634.8,1066.0,1995
San Francisco Police Dept,CA,738371.0,1476.6,13.4,41.2,876.1,545.9,6713.6,965.2,4625.5,1122.9,1995
San Jose Police Dept,CA,822845.0,808.1,4.6,47.0,146.9,609.5,3578.7,665.6,2399.6,513.5,1995
Santa Ana Police Dept,CA,292289.0,859.8,24.6,22.6,422.2,390.4,4337.1,746.5,2530.4,1060.3,1995
Santa Clarita,CA,124298.0,545.5,3.2,22.5,74.0,445.7,2615.5,732.1,1465.0,418.3,1995
Santa Rosa Police Dept,CA,117550.0,581.0,3.4,54.4,164.2,359.0,5650.4,1006.4,4189.7,454.3,1995
Savannah Police Dept,GA,143505.0,968.6,18.8,53.0,585.3,311.5,7404.6,1356.1,5344.1,704.5,1995
Scottsdale Police Dept,AZ,157788.0,290.3,3.8,11.4,87.5,187.6,6564.5,1315.7,4199.9,1048.9,1995
Seattle Police Dept,WA,529526.0,926.1,7.7,49.1,417.9,451.3,9556.3,1452.1,6792.9,1311.4,1995
Shreveport Police Dept,LA,199007.0,1302.5,30.7,56.3,389.9,825.6,9922.3,1902.9,7355.0,664.3,1995
Simi Valley Police Dept,CA,107486.0,182.3,3.7,11.2,53.0,114.4,2523.1,582.4,1636.5,304.2,1995
Sioux Falls Police Dept,SD,110385.0,453.9,4.5,63.4,74.3,311.6,4769.7,819.0,3746.9,203.8,1995
South Bend Police Dept,IN,106024.0,924.3,24.5,81.1,366.9,451.8,8519.8,2269.3,5583.6,666.8,1995
Spokane Police Dept,WA,195956.0,809.4,11.7,67.4,240.4,489.9,7602.7,1513.6,5613.5,475.6,1995
Springfield Police Dept,IL,106641.0,,10.3,,528.9,960.2,8613.0,2332.1,5798.0,482.9,1995
Springfield Police Dept,MA,149978.0,1538.2,12.7,89.3,498.7,937.5,5906.2,1660.2,2532.4,1713.6,1995
Springfield Police Dept,MO,151032.0,548.9,3.3,54.3,96.0,395.3,7457.4,1405.7,5588.2,463.5,1995
Stamford Police Dept,CT,107199.0,476.7,3.7,13.1,215.5,244.4,5168.0,872.2,3730.4,565.3,1995
Sterling Heights Police Dept,MI,120171.0,271.3,0.8,12.5,9.2,248.8,3405.1,289.6,2801.8,313.7,1995
Stockton Police Dept,CA,223752.0,1424.3,18.8,59.4,548.8,797.3,7863.6,1714.4,4593.5,1555.7,1995
Sunnyvale Dept Of Public Safety,CA,120185.0,211.3,2.5,24.1,91.5,93.2,2931.3,381.9,2258.2,291.2,1995
Syracuse Police Dept,NY,159603.0,919.2,11.3,52.6,396.6,458.6,6186.0,1909.7,3779.4,496.9,1995
St. Petersburg Police Dept,FL,242228.0,2136.0,12.4,71.0,585.0,1467.6,7317.5,1740.9,4985.4,591.2,1995
Tacoma Police Dept,WA,186074.0,1732.1,15.0,91.9,497.1,1128.0,9965.4,1964.3,6583.4,1417.7,1995
